word;level
wunderschön;A1.1
wünschen;A1.1
Zahl;A1.1
zahlen;A1.1
Zahn;A1.2
Zeh;A1.2
zeichnen;A1.1
zeigen;A1.1
Zeit;A1.1
Zeitung;A1.1
Zentrum;A1.1
Zettel;A1.1
Zimmer;A1.1
Zitrone;A1.1
zu;A1.1
zu Fuß;A1.1
zu Hause;A1.1
Zucker;A1.1
zuerst;A1.2
Zug;A1.2
zurück;A1.2
zurzeit;A1.2
zusammen;A1.1
zweimal;A1.2
zweite;A1.2
Zwiebel;A1.1
zwischen;A1.2
